2021-09-07 12:56:20.029 [main] INFO  com.xingHe.web.WebApplicatoin - Starting WebApplicatoin v2.2.5.RELEASE on DESKTOP-95SPIBH with PID 6832 (C:\Users\elane\Desktop\xh\xingHe\xingHe-web\target\xingHe-web-2.2.5.RELEASE.jar started by elane in C:\Users\elane\Desktop\xh\xingHe\xingHe-web\target)
2021-09-07 12:56:20.035 [main] INFO  com.xingHe.web.WebApplicatoin - No active profile set, falling back to default profiles: default
2021-09-07 12:56:20.808 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-09-07 12:56:20.812 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-09-07 12:56:20.855 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26ms. Found 0 Redis repository interfaces.
2021-09-07 12:56:22.037 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 6001 (http)
2021-09-07 12:56:22.048 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-6001"]
2021-09-07 12:56:22.049 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-07 12:56:22.050 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.31]
2021-09-07 12:56:22.117 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-07 12:56:22.117 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1994 ms
2021-09-07 12:56:22.234 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2021-09-07 12:56:22.408 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-09-07 12:56:23.383 [main] INFO  com.xingHe.web.utils.redis.RedisConfig - JedisPool注入成功！！
